,text,Label
74,My favourite app,"(Category tensor(1), tensor(1), tensor([0.0374, 0.9626]))"
75,Great service.,"(Category tensor(1), tensor(1), tensor([0.0681, 0.9319]))"
76,Good deals but too long shipping time could it be Faster ??,"(Category tensor(1), tensor(1), tensor([0.0041, 0.9959]))"
77,Awesome,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
78,I'm very satisfied with their service. This is the best online shopping app I have used so far. Highly recommend,"(Category tensor(1), tensor(1), tensor([0.0140, 0.9860]))"
79,"Was enjoying the app initially but now its a total mess, you order something, the seller sends incomplete items and you can neither open dispute, send the seller a message nor contact the support team. You just end up losing your money!This is very irresponsible of Ali express in short thus is cheating!","(Category tensor(1), tensor(1), tensor([1.1512e-05, 9.9999e-01]))"
80,"The delivery is extremely poor! very poor indeed.Even if an order is delivered by foot from overseas, it cant surely take over 4 months.Other online business platforms like kilmall are exemplary. Ali Express you need to have a total turnaround.","(Category tensor(1), tensor(1), tensor([0.0012, 0.9988]))"
81,Package was in perfect condition. Shipping was faster than expected..,"(Category tensor(1), tensor(1), tensor([0.0039, 0.9961]))"
82,New customer. Little bit wary at first but no real worries as my few items are small and low value. So far the first one arrived today. I ordered it 5 weeks ago but the tracking info on the app is pretty informative. Waiting on the others...,"(Category tensor(1), tensor(1), tensor([0.0080, 0.9920]))"
83,👍👍,"(Category tensor(1), tensor(1), tensor([0.1698, 0.8302]))"
84,Fair and good,"(Category tensor(1), tensor(1), tensor([0.3422, 0.6578]))"
85,Amazing,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
86,So reliable.,"(Category tensor(0), tensor(0), tensor([0.6240, 0.3760]))"
87,Very nice,"(Category tensor(1), tensor(1), tensor([0.0397, 0.9603]))"
88,Worst customer support. Bloody robot dont let you chat with agent and doesn't answer to queries. Disputes are pending from three months but Aliexpress is sleeping,"(Category tensor(1), tensor(1), tensor([5.9826e-05, 9.9994e-01]))"
89,Awesome and user friendly,"(Category tensor(1), tensor(1), tensor([0.0358, 0.9642]))"
90,Useless.. fake,"(Category tensor(1), tensor(1), tensor([0.0119, 0.9881]))"
91,Super,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
92,Love it,"(Category tensor(1), tensor(1), tensor([0.2268, 0.7732]))"
93,Great,"(Category tensor(1), tensor(1), tensor([0.2377, 0.7623]))"
94,Excellent,"(Category tensor(1), tensor(1), tensor([0.2514, 0.7486]))"
95,"They have really good stuff, I've just had a lot of problems with shipping :( It usually takes 2-3 months to get something delivered.","(Category tensor(1), tensor(1), tensor([0.0829, 0.9171]))"
96,Amazing selection,"(Category tensor(1), tensor(1), tensor([0.1256, 0.8744]))"
97,Totally satisfied with shipping time and product's in which I have purchased.,"(Category tensor(1), tensor(1), tensor([0.0187, 0.9813]))"
98,Very good,"(Category tensor(1), tensor(1), tensor([0.0231, 0.9769]))"
99,Very good Shopping Apps,"(Category tensor(1), tensor(1), tensor([0.0274, 0.9726]))"
100,Is ok,"(Category tensor(0), tensor(0), tensor([0.5301, 0.4699]))"
101,🙃🙂,"(Category tensor(1), tensor(1), tensor([0.1698, 0.8302]))"
102,😊,"(Category tensor(1), tensor(1), tensor([0.2267, 0.7733]))"
103,Good app you can get anything you want at any store at your convenience time,"(Category tensor(1), tensor(1), tensor([0.0015, 0.9985]))"
104,Best app,"(Category tensor(1), tensor(1), tensor([0.0601, 0.9399]))"
105,Very bad experience buying in this platform. Delivery is often more than 30 days and up to 55 days. Dispute is handled by robot and no real people behind it. Return shipping for faulty item is paid by the buyer and most of the time is expensive and not worth it. The price published for a product is often based on the lowest forex rate so that the item look cheaper. So many manipulations inside this platform. I would advise anyone not to buy from this platform.There are better platforms out there,"(Category tensor(1), tensor(1), tensor([0.0017, 0.9983]))"
106,I just had an amazing experience with AliExpress,"(Category tensor(1), tensor(1), tensor([0.0071, 0.9929]))"
107,Very good site easy to use,"(Category tensor(1), tensor(1), tensor([0.0165, 0.9834]))"
108,"Yep really good until use it a few more times. Thanks. Tony,","(Category tensor(0), tensor(0), tensor([0.9570, 0.0430]))"
109,Trusted and reliable Fast and cheap Accurate and sure,"(Category tensor(0), tensor(0), tensor([0.8972, 0.1028]))"
110,Very useful,"(Category tensor(1), tensor(1), tensor([0.0510, 0.9490]))"
111,"The app is convenient but, items are too small to see correctly. This makes it hard to choose the right colors. The app is a little difficult. I also encountered a clip of porn in one of the product streams. I like using the computer better than the app.","(Category tensor(1), tensor(1), tensor([0.2143, 0.7857]))"
112,I love how they have so many products!,"(Category tensor(1), tensor(1), tensor([0.0023, 0.9977]))"
113,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
114,Easy to look for anything needed,"(Category tensor(1), tensor(1), tensor([0.4548, 0.5452]))"
115,nice,"(Category tensor(1), tensor(1), tensor([0.2413, 0.7587]))"
116,Its good,"(Category tensor(1), tensor(1), tensor([0.0399, 0.9601]))"
117,Excellent,"(Category tensor(1), tensor(1), tensor([0.2514, 0.7486]))"
118,It's simply the best,"(Category tensor(1), tensor(1), tensor([0.0045, 0.9955]))"
119,"Yeah, it's alright","(Category tensor(1), tensor(1), tensor([0.0055, 0.9945]))"
120,I am using yahoo more than 15 years and happy to use it in the future. Thank yahoo.,"(Category tensor(1), tensor(1), tensor([0.0069, 0.9931]))"
121,Convenient,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
122,Works for me.,"(Category tensor(1), tensor(1), tensor([0.0856, 0.9144]))"
123,Very good 👍,"(Category tensor(1), tensor(1), tensor([0.0073, 0.9927]))"
124,Easy to work and read,"(Category tensor(0), tensor(0), tensor([0.7025, 0.2975]))"
125,Great!,"(Category tensor(1), tensor(1), tensor([0.1644, 0.8356]))"
126,I order all the time from Affirm their pretty reasonable and their fair,"(Category tensor(1), tensor(1), tensor([1.3946e-04, 9.9986e-01]))"
127,Great!,"(Category tensor(1), tensor(1), tensor([0.1644, 0.8356]))"
128,Very effective and quick,"(Category tensor(1), tensor(1), tensor([0.0128, 0.9872]))"
129,"This is absolutely the worst email app out there. I'm very disappointed I actually thought that Yahoo after all these years would have had their act together when it came to providing good reliable and fast and accurate email. Just to give you a for instance when I try to delete an email, I can't get rid of it, and it takes two or three tries before it's finally deleted. This email app by Yahoo has a lot of glitches and bugs in it. The bottom line is I don't recommend that you install this.","(Category tensor(1), tensor(1), tensor([0.0244, 0.9756]))"
130,It's email...,"(Category tensor(1), tensor(1), tensor([0.0018, 0.9982]))"
131,I can't open links on my email I have updated and reinstall it and still having trouble trying to open a link on a email li yes I do have Tmobile but I never had problems with it,"(Category tensor(1), tensor(1), tensor([0.0414, 0.9586]))"
132,Its working satisfactory.,"(Category tensor(1), tensor(1), tensor([0.0159, 0.9841]))"
133,Very satisfied,"(Category tensor(1), tensor(1), tensor([0.0510, 0.9490]))"
134,Serves my needs very well.,"(Category tensor(1), tensor(1), tensor([0.0579, 0.9421]))"
135,Good experience,"(Category tensor(1), tensor(1), tensor([0.0513, 0.9487]))"
136,I love how easy it is to navigate my mail now. The folders I can make are wonderful. Highly recommend this email.,"(Category tensor(1), tensor(1), tensor([0.0039, 0.9961]))"
137,Ok email,"(Category tensor(1), tensor(1), tensor([0.1832, 0.8168]))"
138,Great,"(Category tensor(1), tensor(1), tensor([0.2377, 0.7623]))"
139,Excelentes,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
140,"I have been using this app a few days, but I really like it. Sometimes it's a bit slow, but it is easy to use and allows for organized email.","(Category tensor(1), tensor(1), tensor([0.0068, 0.9932]))"
141,The best,"(Category tensor(1), tensor(1), tensor([0.0730, 0.9270]))"
142,TOO MANY HOOPS TO JUMP THRU FOR VERIFICATION. BROKEN APP,"(Category tensor(1), tensor(1), tensor([2.6886e-05, 9.9997e-01]))"
143,Yahoo has improved so much more,"(Category tensor(1), tensor(1), tensor([0.0375, 0.9625]))"
144,Great functionality and stability!,"(Category tensor(1), tensor(1), tensor([0.0047, 0.9953]))"
145,Great app!,"(Category tensor(1), tensor(1), tensor([0.0155, 0.9845]))"
146,"I am using Yahoo mail from last 20 yrs ,good service and easy to understand format","(Category tensor(1), tensor(1), tensor([1.7066e-05, 9.9998e-01]))"
147,Well designed for lazy people! Very easy and convenience!,"(Category tensor(1), tensor(1), tensor([1.0214e-04, 9.9990e-01]))"
148,Thank you Yahoo! Mail 💌,"(Category tensor(1), tensor(1), tensor([0.2493, 0.7507]))"
149,It's nice n good app.,"(Category tensor(1), tensor(1), tensor([0.0016, 0.9984]))"
150,Too good,"(Category tensor(1), tensor(1), tensor([0.0620, 0.9380]))"
151,Great 👍,"(Category tensor(1), tensor(1), tensor([0.0450, 0.9550]))"
152,notices come in twice I only need them once,"(Category tensor(1), tensor(1), tensor([0.2279, 0.7721]))"
153,Very easy to use,"(Category tensor(1), tensor(1), tensor([0.0848, 0.9152]))"
154,"Have had it forever, has not let me down yet!.","(Category tensor(1), tensor(1), tensor([0.2046, 0.7954]))"
155,The best email provider in my eyes,"(Category tensor(1), tensor(1), tensor([0.4651, 0.5349]))"
156,No issues. Works well,"(Category tensor(1), tensor(1), tensor([0.0072, 0.9928]))"
157,Abcd,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
158,Very user friendly and I feel that my information is secure,"(Category tensor(1), tensor(1), tensor([0.0044, 0.9956]))"
159,This app used to be great but the last 3 days I have not been able access my emails. Everytime I try to open an email the app kicks me out. I have uninstalled and reinstalled the app but the same thing. Please fix this,"(Category tensor(1), tensor(1), tensor([0.0101, 0.9899]))"
160,5 stars,"(Category tensor(1), tensor(1), tensor([0.1254, 0.8746]))"
161,Very easy to use and understand,"(Category tensor(0), tensor(0), tensor([0.5065, 0.4935]))"
162,Very seldom have trouble with it.,"(Category tensor(1), tensor(1), tensor([0.0750, 0.9250]))"
163,Thank you so much. Free email apps.,"(Category tensor(1), tensor(1), tensor([0.0262, 0.9738]))"
164,Exelente 👍🏻,"(Category tensor(1), tensor(1), tensor([0.0119, 0.9881]))"
165,Excellent service,"(Category tensor(1), tensor(1), tensor([0.0619, 0.9381]))"
166,"Works well, easy to use","(Category tensor(1), tensor(1), tensor([0.0464, 0.9536]))"
167,Thank you I appreciate this app its been a great tool for me✌I can always count on this app to work🙏,"(Category tensor(1), tensor(1), tensor([0.0022, 0.9978]))"
168,Useful,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
169,So far no issues,"(Category tensor(1), tensor(1), tensor([0.0722, 0.9278]))"
170,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
171,Too many advertisements. It's very annoying.,"(Category tensor(1), tensor(1), tensor([0.0083, 0.9917]))"
172,Rubbish,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
173,Happy,"(Category tensor(1), tensor(1), tensor([0.3450, 0.6550]))"
174,Very interesting and convenient to use. Totally user friendly,"(Category tensor(1), tensor(1), tensor([2.3550e-04, 9.9976e-01]))"
175,Very fantastics,"(Category tensor(1), tensor(1), tensor([0.0510, 0.9490]))"
176,OK,"(Category tensor(1), tensor(1), tensor([0.1464, 0.8536]))"
177,Great job Wii use it more!,"(Category tensor(1), tensor(1), tensor([0.0071, 0.9929]))"
178,Outstanding app,"(Category tensor(1), tensor(1), tensor([0.1256, 0.8744]))"
179,"This app is extraordinary and very very helpful for daily day today life Sending group messages, informations, urgent and immediate details and very handy app for all ages and all times","(Category tensor(1), tensor(1), tensor([1.0911e-04, 9.9989e-01]))"
180,Very good,"(Category tensor(1), tensor(1), tensor([0.0231, 0.9769]))"
181,Seems to have fewer glitches now,"(Category tensor(1), tensor(1), tensor([6.0520e-04, 9.9939e-01]))"
182,Useless,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
183,Amazing and win 🏆👏,"(Category tensor(1), tensor(1), tensor([0.0236, 0.9764]))"
184,Totoka,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
185,Very reliable,"(Category tensor(1), tensor(1), tensor([0.1754, 0.8246]))"
186,Ad buttons are none responsive,"(Category tensor(1), tensor(1), tensor([9.5162e-04, 9.9905e-01]))"
187,Ok,"(Category tensor(1), tensor(1), tensor([0.2736, 0.7264]))"
188,Smooth,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
189,I enjoy all that yahoo has to offer,"(Category tensor(1), tensor(1), tensor([0.4530, 0.5470]))"
190,"You have Fixed Contacts save System, instead of Contacts List save as per our customised matched.","(Category tensor(1), tensor(1), tensor([3.7497e-04, 9.9962e-01]))"
191,Good then before though Improving slowly...,"(Category tensor(1), tensor(1), tensor([0.3733, 0.6267]))"
192,Great tool to keep in touch with individuals and businesses,"(Category tensor(0), tensor(0), tensor([0.5343, 0.4657]))"
193,Not for me.. too many ads. its distracts me too much. I forget why I opened my emails in the first place 😐,"(Category tensor(1), tensor(1), tensor([0.0024, 0.9976]))"
194,Highly appropriate and useful.,"(Category tensor(1), tensor(1), tensor([0.0489, 0.9511]))"
195,"Your app keeps crapping out, I have to keep checking my emails constantly for new emails. The icon notifications will randomly show that I have emails. I can't open up my sent out email box. It keeps kicking me out of the app completely every time. I've uninstalled the app several times to refresh the app, I've cleaned out the caches several times. What is going on with this app?","(Category tensor(1), tensor(1), tensor([0.0054, 0.9946]))"
196,Great App!,"(Category tensor(1), tensor(1), tensor([0.0321, 0.9679]))"
197,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
198,"I'm sick of it asking me to review it when I reviewed it years ago. Also, I now need a VPN to properly read my emails in China 😔","(Category tensor(1), tensor(1), tensor([0.0245, 0.9755]))"
199,"I Love using yahoo mail. It's always been fun, convienient, and robust to use.","(Category tensor(1), tensor(1), tensor([0.0030, 0.9970]))"
200,Gives me the ease of use I like and allows me to have another email address to use for various outlets.,"(Category tensor(1), tensor(1), tensor([0.0050, 0.9950]))"
201,Very usefull,"(Category tensor(1), tensor(1), tensor([0.0510, 0.9490]))"
202,Very useful.,"(Category tensor(1), tensor(1), tensor([0.1000, 0.9000]))"
203,Awsome,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
204,bugs all the time. I constantly have to open the app from the app store.,"(Category tensor(1), tensor(1), tensor([0.0483, 0.9517]))"
205,Ive been with yahoo since early 2000. Loyal to yahoo,"(Category tensor(1), tensor(1), tensor([0.0394, 0.9606]))"
206,Been using it since 2006. Never a problem.,"(Category tensor(1), tensor(1), tensor([0.2851, 0.7149]))"
207,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
208,This app has really approved and works very well.,"(Category tensor(1), tensor(1), tensor([0.0802, 0.9198]))"
209,Perfect app! 🌟,"(Category tensor(1), tensor(1), tensor([0.0016, 0.9984]))"
210,Enjoy keeping up with the mail,"(Category tensor(1), tensor(1), tensor([0.0245, 0.9755]))"
211,Very good,"(Category tensor(1), tensor(1), tensor([0.0231, 0.9769]))"
212,No me gusta,"(Category tensor(1), tensor(1), tensor([0.0887, 0.9113]))"
213,Works great,"(Category tensor(1), tensor(1), tensor([0.0321, 0.9679]))"
214,Great,"(Category tensor(1), tensor(1), tensor([0.2377, 0.7623]))"
215,I have no complaints as of yet..,"(Category tensor(1), tensor(1), tensor([0.0154, 0.9846]))"
216,Great as always,"(Category tensor(0), tensor(0), tensor([0.9637, 0.0363]))"
217,You are REALLY TRULY REAL TRUE WORDS ARE AAAAAAAAAWWWWEEEEEESOME AND COOOOOOOOOOOL AND RIGHT THERE IF SOMETHING IS WRONG,"(Category tensor(1), tensor(1), tensor([2.3481e-07, 1.0000e+00]))"
218,তথছ,"(Category tensor(1), tensor(1), tensor([0.2267, 0.7733]))"
219,Waist of time,"(Category tensor(1), tensor(1), tensor([0.2174, 0.7826]))"
220,Keeps alook out at all times,"(Category tensor(1), tensor(1), tensor([0.0092, 0.9908]))"
221,Nice app,"(Category tensor(1), tensor(1), tensor([0.0818, 0.9182]))"
222,Christlife123!,"(Category tensor(1), tensor(1), tensor([0.1595, 0.8405]))"
223,I love it it's doing it's job,"(Category tensor(1), tensor(1), tensor([0.0552, 0.9448]))"
224,Ok,"(Category tensor(1), tensor(1), tensor([0.2736, 0.7264]))"
225,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
226,Works,"(Category tensor(1), tensor(1), tensor([0.3306, 0.6694]))"
227,"It's unobtrusive, but when it detects a problem, I can decide what I need to do to fix it. It is extremely helpful.","(Category tensor(1), tensor(1), tensor([0.0147, 0.9853]))"
228,Keeps me from daining my battery and getting rid of unnecessary apps.keeps my phone safe,"(Category tensor(1), tensor(1), tensor([0.0077, 0.9923]))"
229,Great,"(Category tensor(1), tensor(1), tensor([0.2377, 0.7623]))"
230,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
231,I like the apps it works and it's quick to get things done and no problems!!,"(Category tensor(1), tensor(1), tensor([0.0056, 0.9944]))"
232,It's been good.,"(Category tensor(1), tensor(1), tensor([0.0967, 0.9033]))"
233,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
234,This is very satisfying ft.slayypoint,"(Category tensor(1), tensor(1), tensor([9.4710e-05, 9.9991e-01]))"
235,Chinna,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
236,That is so fun and can get so much fun,"(Category tensor(1), tensor(1), tensor([0.0273, 0.9727]))"
237,Too good,"(Category tensor(1), tensor(1), tensor([0.0620, 0.9380]))"
238,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
239,maganda,"(Category tensor(1), tensor(1), tensor([0.2267, 0.7733]))"
240,Amazing :-\👌🔥,"(Category tensor(1), tensor(1), tensor([2.1604e-05, 9.9998e-01]))"
241,Super game,"(Category tensor(1), tensor(1), tensor([0.3035, 0.6965]))"
242,Very Butiful good game,"(Category tensor(1), tensor(1), tensor([0.0504, 0.9496]))"
243,Super,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
244,Nice superb,"(Category tensor(1), tensor(1), tensor([0.0818, 0.9182]))"
245,Bro i am from thoothukudi good game yaah!!,"(Category tensor(1), tensor(1), tensor([7.0222e-05, 9.9993e-01]))"
246,Nice game but it can be improved,"(Category tensor(1), tensor(1), tensor([0.0054, 0.9946]))"
247,Good game,"(Category tensor(1), tensor(1), tensor([0.1556, 0.8444]))"
248,😢👩‍🍳,"(Category tensor(1), tensor(1), tensor([0.0048, 0.9952]))"
249,I remember this game when I was 6 years old and it was amazing 🎮,"(Category tensor(1), tensor(1), tensor([5.4811e-04, 9.9945e-01]))"
250,Not downloadin fast That's all,"(Category tensor(0), tensor(0), tensor([0.9689, 0.0311]))"
251,I like the game,"(Category tensor(1), tensor(1), tensor([0.1241, 0.8759]))"
